event_id,event_timestamp,event_date,event_hour,event_minute,event_index,ghost_index,ghost_type,relocation,ghost_price,event_hlc3,atr_1m,volume_1m,volume_ema9_1m,tf1_ob_dist_pips,tf1_ob_width_pips,tf1_fvg_dist_pips,tf1_fvg_width_pips,tf1_fib_dist_pips,tf1_vwap_dist_pips,tf1_vwap_band1_dist_pips,tf1_vwap_band2_dist_pips,tf1_vp_poc_dist_pips,tf1_vp_vah_dist_pips,tf1_vp_val_dist_pips,tf1_bos_choch_dist_pips,tf1_eqh_eql_dist_pips,tf1_sweep_grab_run_dist_pips,tf1_supply_demand_dist_pips,tf1_supply_demand_width_pips,tf1_channel_dist_pips,tf1_channel_width_pips,tf10_ob_dist_pips,tf10_ob_width_pips,tf10_fvg_dist_pips,tf10_fvg_width_pips,tf10_fib_dist_pips,tf10_vwap_dist_pips,tf10_vwap_band1_dist_pips,tf10_vwap_band2_dist_pips,tf10_vp_poc_dist_pips,tf10_vp_vah_dist_pips,tf10_vp_val_dist_pips,tf10_bos_choch_dist_pips,tf10_eqh_eql_dist_pips,tf10_sweep_grab_run_dist_pips,tf10_supply_demand_dist_pips,tf10_supply_demand_width_pips,tf10_channel_dist_pips,tf10_channel_width_pips,tf60_ob_dist_pips,tf60_ob_width_pips,tf60_fvg_dist_pips,tf60_fvg_width_pips,tf60_fib_dist_pips,tf60_vwap_dist_pips,tf60_vwap_band1_dist_pips,tf60_vwap_band2_dist_pips,tf60_vp_poc_dist_pips,tf60_vp_vah_dist_pips,tf60_vp_val_dist_pips,tf60_bos_choch_dist_pips,tf60_eqh_eql_dist_pips,tf60_sweep_grab_run_dist_pips,tf60_supply_demand_dist_pips,tf60_supply_demand_width_pips,tf60_channel_dist_pips,tf60_channel_width_pips,sr_4h_dist_pips,sr_d_dist_pips,sr_w_dist_pips,Y_3m,Y_5m,Y_10m,Y_15m,complete
ghost_relocated_high_60038_60038_5165,1780378200,2026-06-02,5,30,60038,60038,high,move,30481.25,30477.0833333333,5.94645702390128,236,134.204093348029,1.66666666667152,32,-1.83333333332848,23,-6.33333333332848,-337.499113360158,-149.043755231629,39.4116028969001,-481.573333333334,-420.013333333321,-561.373333333322,-0.333333333328483,-47.3333333333285,-0.333333333328483,-27.3333333333285,76,,,3.66666666667152,224,-11.8333333333285,23,-63.9513333333307,260.830905924595,693.525362004992,1126.2198180854,241.816666666666,351.166666666672,-353.533333333326,76.6666666666715,459.666666666672,7.66666666667152,3.66666666667152,224,,,-296.333333333328,1064,-222.333333333328,164,863.666666666672,-2672.74604098471,-598.951742316189,1474.84255635235,-1993.93333333333,-1328.65333333334,-2412.81333333332,235.666666666672,-743.333333333328,-133.333333333328,-296.333333333328,1064,,,-27.3333333333285,-742.333333333328,-392.333333333328,1,3,4,4,1
ghost_relocated_high_60039_60039_5166,1780378260,2026-06-02,5,31,60039,60039,high,move,30481.75,30479.5,5.82528152219405,110,129.363274678423,-6.5,19,0.5,17,7,-342.076336528233,-150.57794432783,40.9204478725733,-491.240000000005,-429.679999999993,-571.039999999994,-2,50.5,-1,-37,76,,,-6,224,-21.5,23,-73.6180000000022,249.303186301753,680.888904029824,1112.47462175789,232.149999999994,341.5,-363.199999999997,67,450,1,-6,224,,,-306,1064,-232,164,854,-2682.41270765138,-608.61840898286,1465.17588968568,-2003.60000000001,-1338.32000000001,-2422.48,226,-753,-143,-306,1064,,,-37,-752,-402,1,3,3,3,1
ghost_relocated_high_60042_60042_5167,1780378440,2026-06-02,5,34,60042,60042,high,move,30486.25,30482.4166666667,6.07640069397242,172,130.169996635353,-18.1666666666715,19,-11.1666666666715,17,-2.66666666667152,-347.055475519388,-151.683356178182,43.6887631630234,-502.906666666677,-441.346666666665,-582.706666666665,-8.66666666667152,38.8333333333285,2.33333333332848,-48.6666666666715,76,,,-4.66666666667152,120,-33.1666666666715,23,-85.2846666666737,237.636519635082,669.222237363152,1100.80795509122,220.483333333323,329.833333333328,-374.866666666669,55.3333333333285,438.333333333328,-10.6666666666715,-17.6666666666715,224,,,-317.666666666672,1064,-243.666666666672,164,842.333333333328,-2694.07937431805,-620.285075649532,1453.50922301901,-2015.26666666668,-1349.98666666668,-2434.14666666667,214.333333333328,-764.666666666672,-154.666666666672,-317.666666666672,1064,,,-48.6666666666715,-763.666666666672,-413.666666666672,2,2,2,2,1
ghost_relocated_high_60043_60043_5168,1780378500,2026-06-02,5,35,60043,60043,high,move,30488.5,30486.4166666667,5.92808635868867,152,134.535997308282,3.33333333332848,32,4.33333333332848,34,-0.666666666671517,-359.35630331951,-161.787195451107,35.7819124172966,-518.906666666677,-457.346666666665,-598.706666666665,-5.66666666667152,22.8333333333285,0.333333333328483,-64.6666666666715,76,,,-20.6666666666715,120,45.8333333333285,71,75.8333333333285,221.636519635082,653.222237363152,1084.80795509122,204.483333333323,313.833333333328,-390.866666666669,39.3333333333285,422.333333333328,-26.6666666666715,-33.6666666666715,224,,,-333.666666666672,1064,-259.666666666672,164,826.333333333328,-2710.07937431805,-636.285075649532,1437.50922301901,-2031.26666666668,-1365.98666666668,-2450.14666666667,198.333333333328,-780.666666666672,-170.666666666672,-333.666666666672,1064,,,-64.6666666666715,-779.666666666672,-429.666666666672,1,1,1,1,1
ghost_relocated_high_60044_60044_5169,1780378560,2026-06-02,5,36,60044,60044,high,move,30495,30491,6.12965161878234,180,143.628797846626,-1,42,-7.5,13,-10,-374.336321034658,-174.67885662608,24.9786077824974,-537.240000000005,-475.679999999993,-617.039999999994,4,4.5,-1,81,30,,,30.5,49,27.5,71,57.5,203.303186301753,634.888904029824,1066.47462175789,186.149999999994,295.5,-409.199999999997,21,404,21,-52,224,,,-352,1064,-278,164,808,-2728.41270765138,-654.61840898286,1419.17588968568,-2049.60000000001,-1384.32000000001,-2468.48,180,-799,180,-352,1064,,,-83,-798,-448,0,0,0,0,1
ghost_relocated_high_60088_60088_5170,1780381200,2026-06-02,6,20,60088,60088,high,move,30496,30492.8333333333,6.68133103977524,143,113.747771974777,4.66666666667152,66,14.1666666666715,35,8.66666666667152,-306.965053890322,-84.6096511539945,137.745751582333,-544.573333333334,-483.013333333321,-624.373333333322,-1.33333333332848,-2.83333333332848,-0.333333333328483,73.6666666666715,30,,,23.1666666666715,49,20.1666666666715,71,50.1666666666715,190.262950109769,618.641799115896,1047.02064812202,178.816666666666,288.166666666672,-416.533333333326,13.6666666666715,396.666666666672,13.6666666666715,-59.3333333333285,224,,,-359.333333333328,1064,-285.333333333328,164,800.666666666672,-2731.92881571832,-657.027336455198,1417.87414280791,-2056.93333333333,-1391.65333333334,-2475.81333333332,172.666666666672,-806.333333333328,172.666666666672,-359.333333333328,1064,,,-90.3333333333285,800.666666666672,-455.333333333328,2,2,2,3,1
ghost_relocated_high_60089_60089_5171,1780381260,2026-06-02,6,21,60089,60089,high,move,30500.25,30497.0833333333,6.81123596550558,199,130.798217579822,5.16666666667152,27,-1.33333333332848,16,-4.33333333332848,-321.906914228544,-98.8868078246014,124.133298579341,-69.5933333333232,-4.33333333332848,-305.533333333326,-6.33333333332848,-5.33333333332848,-3.33333333332848,56.6666666666715,30,,,6.16666666667152,49,3.16666666667152,71,33.1666666666715,172.253260340163,599.75257696757,1027.25189359496,161.816666666666,271.166666666672,-433.533333333326,-3.33333333332848,379.666666666672,-3.33333333332848,-76.3333333333285,224,,,-376.333333333328,1064,-302.333333333328,164,783.666666666672,-2748.92881571832,-674.027336455198,1400.87414280791,-2073.93333333333,-1408.65333333334,-2492.81333333332,155.666666666672,-823.333333333328,155.666666666672,-376.333333333328,1064,,,-107.333333333328,783.666666666672,-472.333333333328,1,1,1,3,1
ghost_relocated_high_60090_60090_5172,1780381320,2026-06-02,6,22,60090,60090,high,move,30503.25,30499.8333333333,6.69971911082661,144,133.438574063857,-5.83333333332848,27,0.666666666671517,100,1.66666666667152,-329.931140737972,-105.816779918416,118.29758090114,-80.5933333333232,-15.3333333333285,-316.533333333326,16.6666666666715,-16.3333333333285,0.666666666671517,45.6666666666715,30,,,-4.83333333332848,49,-5.33333333332848,68,22.1666666666715,161.253260340163,588.75257696757,1016.25189359496,150.816666666666,260.166666666672,-444.533333333326,-14.3333333333285,368.666666666672,9.66666666667152,-87.3333333333285,224,,,-387.333333333328,1064,-313.333333333328,164,772.666666666672,-2759.92881571832,-685.027336455198,1389.87414280791,-2084.93333333333,-1419.65333333334,-2503.81333333332,144.666666666672,-834.333333333328,144.666666666672,-387.333333333328,1064,,,-118.333333333328,772.666666666672,-483.333333333328,0,0,0,2,1
ghost_relocated_high_60103_60103_5173,1780382100,2026-06-02,6,35,60103,60103,high,move,30506.25,30497.25,8.43976105815873,487,197.741490489103,4.5,27,-2,16,24,-302.838127664509,-75.5936388011614,151.650850062171,-70.2599999999948,-5,-306.199999999997,-7,-6,-4,56,30,,,5.5,49,2.5,71,32.5,169.782732771782,595.62837222527,1021.47401167874,161.149999999994,270.5,-434.199999999997,-4,379,-4,-77,224,,,-377,1064,-303,164,783,-2749.59548238499,-674.694003121869,1400.20747614124,-2074.60000000001,-1409.32000000001,-2493.48,155,-824,155,-377,1064,,,-108,783,-473,1,1,2,2,1
ghost_relocated_high_60104_60104_5174,1780382160,2026-06-02,6,36,60104,60104,high,move,30509,30503.9166666667,8.67620669686168,327,223.593192391282,-3.16666666667152,13,-15.6666666666715,100,9.33333333332848,-323.201060010251,-94.215434065045,134.770191880161,-96.9266666666663,-31.6666666666715,-332.866666666669,0.333333333328483,3.33333333332848,0.333333333328483,29.3333333333285,30,,,-21.1666666666715,49,-21.6666666666715,68,5.83333333332848,143.116066105111,568.961705558599,994.807345012072,134.483333333323,243.833333333328,-460.866666666669,-30.6666666666715,352.333333333328,-6.66666666667152,-103.666666666672,224,,,-403.666666666672,1064,-329.666666666672,164,756.333333333328,-2776.26214905166,-701.360669788541,1373.54080947457,-2101.26666666668,-1435.98666666668,-2520.14666666667,128.333333333328,-850.666666666672,128.333333333328,-403.666666666672,1064,,,-134.666666666672,756.333333333328,-499.666666666672,0,0,1,1,1
