datetime,epoch,ghost_index,ghost_type,dist_ghost_pips,atr,body_atr,upper_wick_atr,lower_wick_atr,rsi,close_ret1_atr,close_ret5_atr,close_ret15_atr,vol,vol_ema9,vol_ratio,dist_sh5_above,dist_sl5_below,n_sh5_near,n_sl5_near,dist_sh10_above,dist_sl10_below,dist_bsl_above,dist_ssl_below,dist_bos_above,dist_bos_below,dist_fvg_above,dist_fvg_below,dist_ob_above,dist_ob_below,dist_fib_pips,zz_high_dist_pips,zz_low_dist_pips,traces_3m,traces_5m,traces_10m,traces_15m
2026-07-06T17:12:00-05:00,1783375920,4807,1.0000,-25.0000,8.6008,0.2325,0.1163,0.1453,60.57,0.1453,2.7032,2.4416,40.00,85.50,0.4678,4,4,14.00,56.00,14.00,64.00,2.00,3.00,15.00,3.00,11.50,1.50,2.00,7.50,118,510,1134,0,0,2,3
2026-07-06T18:40:00-05:00,1783381200,4922,1.0000,-206.0000,7.8159,0.3838,0.3199,0.1279,36.15,-0.5118,-1.6953,-2.0471,74.00,68.53,1.0798,1,3,117.00,18.00,117.00,18.00,1.00,2.00,1.00,4.00,7.50,0.00,10.00,0.50,45,867,777,0,0,0,0
2026-07-06T19:35:00-05:00,1783384500,4948,1.0000,-286.0000,16.5608,0.6793,0.1661,0.2868,36.06,-0.7699,-2.5361,-2.7625,220.00,165.44,1.3298,2,3,184.00,5.00,184.00,5.00,2.00,3.00,2.00,3.00,3.00,27.00,0.50,5.50,20,1036,608,0,0,0,0
2026-07-06T20:15:00-05:00,1783386900,5020,0.0000,-19.0000,14.6692,0.1534,0.5794,0.0341,38.69,0.0682,-0.9544,-1.4997,62.00,106.95,0.5797,2,3,96.00,999.00,213.00,999.00,1.00,4.00,1.00,18.00,22.00,0.00,10.50,8.00,94,1162,482,3,5,10,15
2026-07-06T21:36:00-05:00,1783391760,5100,0.0000,-7.0000,10.6649,0.7501,0.0703,0.7267,42.49,0.8673,0.2579,-2.0628,158.00,132.23,1.1949,2,2,174.00,999.00,215.00,196.00,3.00,30.00,3.00,30.00,7.00,12.00,14.50,28.50,57,1314,330,3,4,7,12
2026-07-07T00:48:00-05:00,1783403280,5250,1.0000,-35.0000,12.5036,0.7998,0.0600,0.1600,57.57,-0.7798,-0.8597,1.8595,127.00,147.96,0.8583,3,1,999.00,162.00,35.00,79.00,7.00,2.00,79.00,37.00,38.00,17.50,3.50,14.00,527,1784,140,2,4,9,14
2026-07-07T06:31:00-05:00,1783423860,5597,1.0000,-317.0000,10.3633,1.7851,0.0724,0.0000,35.24,-1.5439,-3.5703,-2.0264,146.00,103.79,1.4067,3,3,165.00,30.00,165.00,30.00,2.00,0.00,2.00,2.00,3.50,27.00,1.00,24.50,30,536,206,0,0,0,0
2026-07-07T08:03:00-05:00,1783429380,5720,0.0000,-95.0000,12.5783,0.3180,0.1789,0.6161,38.53,-0.2385,0.0000,-0.3379,219.00,242.93,0.9015,2,3,44.00,51.00,66.00,26.00,6.00,0.00,13.00,26.00,25.00,21.00,5.00,22.50,21,437,305,3,5,10,15
2026-07-07T08:50:00-05:00,1783432200,5789,0.0000,-211.0000,42.3522,0.1299,0.4604,0.1594,40.82,0.1240,-1.1806,-0.1003,1590.00,2092.94,0.7597,5,3,362.00,101.00,362.00,101.00,22.00,10.00,46.00,53.00,123.00,7.50,31.50,8.00,343,910,168,3,5,10,15
2026-07-07T12:28:00-05:00,1783445280,5975,0.0000,174.0000,18.3793,0.3537,0.2448,0.2992,45.35,-0.4081,-1.7819,-0.7617,453.00,563.67,0.8037,4,4,112.00,79.00,114.00,79.00,1.00,7.00,9.00,7.00,64.50,0.50,1.00,21.50,41,857,1279,0,0,0,0
2026-07-07T13:20:00-05:00,1783448400,6017,0.0000,122.0000,14.1228,0.1416,0.1947,0.5665,46.56,-0.1593,-0.6904,-0.9736,342.00,456.95,0.7484,4,5,82.00,20.00,71.00,49.00,2.00,6.00,30.00,20.00,6.50,43.50,12.00,26.00,1,814,1322,0,0,2,5
2026-07-07T15:28:00-05:00,1783456080,6159,0.0000,432.0000,10.0279,0.3740,0.0997,0.4487,53.85,-0.3989,0.5734,-0.4737,174.00,160.69,1.0828,3,1,48.00,74.00,102.00,74.00,8.00,7.00,34.00,57.00,34.00,4.00,9.00,7.50,65,676,807,0,0,0,0
2026-07-07T17:51:00-05:00,1783464660,6262,1.0000,11.0000,8.9995,0.3056,0.3334,0.1111,55.09,0.4445,0.7500,0.5278,44.00,60.26,0.7301,5,2,17.00,76.00,37.00,76.00,10.00,11.00,27.00,11.00,13.00,39.00,9.00,31.00,18,760,723,3,4,8,11
2026-07-07T21:32:00-05:00,1783477920,6467,1.0000,-335.0000,15.5168,0.7734,0.0644,0.0000,40.50,-0.8861,-2.5617,-0.0644,155.00,162.87,0.9517,2,2,77.00,54.00,18.00,54.00,18.00,6.00,22.00,6.00,7.00,10.00,1.00,6.50,61,717,542,0,0,0,0
2026-07-08T03:35:00-05:00,1783499700,6846,0.0000,-1193.0000,36.4206,1.3111,0.2814,0.0069,19.43,-1.1463,-0.1991,-6.0337,603.00,573.45,1.0515,0,0,1390.00,999.00,1123.00,999.00,668.00,32.00,867.00,999.00,113.50,999.00,877.50,999.00,1168,2063,892,3,5,10,15
2026-07-08T04:35:00-05:00,1783503300,6894,1.0000,-391.0000,20.2996,0.6774,0.1108,0.1355,63.46,0.7389,1.5641,2.1306,257.00,197.94,1.2984,2,3,391.00,176.00,391.00,176.00,131.00,46.00,1034.00,145.00,41.50,158.50,323.00,271.00,1335,2230,1059,0,0,0,0
2026-07-08T08:16:00-05:00,1783516560,7069,0.0000,584.0000,19.7486,0.2532,0.1393,0.1266,55.20,-0.2025,1.5824,1.3672,240.00,323.15,0.7427,4,4,162.00,204.00,162.00,204.00,44.00,22.00,243.00,22.00,7.00,44.50,253.50,86.50,141,1439,1157,0,0,0,0
2026-07-08T08:45:00-05:00,1783518300,7156,1.0000,633.0000,40.1092,0.8664,0.1309,0.2306,70.48,0.9100,0.2493,3.2848,1787.00,1907.49,0.9368,4,1,999.00,519.00,999.00,921.00,3.00,10.00,13.00,11.00,14.00,10.50,2.00,5.00,142,698,1898,3,5,10,15
2026-07-08T10:10:00-05:00,1783523400,7220,1.0000,-675.0000,33.1210,0.3019,0.1812,0.4529,46.66,0.3246,-0.4453,-1.5700,682.00,732.90,0.9305,3,4,76.00,102.00,141.00,201.00,23.00,31.00,124.00,43.00,6.00,2.50,232.50,107.50,120,1418,1178,0,0,0,0
2026-07-08T10:50:00-05:00,1783525800,7252,1.0000,-831.0000,27.7356,0.1983,0.1893,0.5949,42.77,-0.2434,-0.7932,-1.0997,677.00,729.26,0.9283,2,3,253.00,223.00,253.00,223.00,13.00,38.00,100.00,107.00,4.50,32.50,250.00,31.00,107,1876,720,0,0,0,0
2026-07-08T11:13:00-05:00,1783527180,7296,1.0000,207.0000,25.8858,0.1159,0.3187,0.2801,72.80,-0.1835,2.2792,4.5392,755.00,856.55,0.8814,1,0,999.00,614.00,139.00,203.00,21.00,33.00,122.00,45.00,4.00,4.50,230.50,5.50,118,1416,1180,3,5,10,15
2026-07-08T12:35:00-05:00,1783532100,7387,1.0000,222.0000,17.6507,0.4816,0.0567,0.5382,69.72,0.4532,-0.1416,3.6684,658.00,618.83,1.0633,3,0,50.00,406.00,50.00,442.00,8.00,0.00,26.00,13.00,1.50,1.00,29.50,12.50,603,185,2142,3,5,9,9
2026-07-08T18:14:00-05:00,1783552440,7645,0.0000,162.0000,7.9448,0.0944,0.2832,0.4091,61.39,0.1259,-0.5349,2.4230,40.00,57.55,0.6950,4,3,18.00,147.00,5.00,157.00,2.00,7.00,5.00,11.00,1.00,0.50,31.50,10.50,495,183,1643,0,0,4,5
2026-07-08T18:14:00-05:00,1783552440,7653,1.0000,21.0000,7.9448,0.0944,0.2832,0.4091,61.39,0.1259,-0.5349,2.4230,40.00,57.55,0.6950,4,3,18.00,147.00,5.00,157.00,2.00,7.00,5.00,11.00,1.00,0.50,31.50,10.50,495,183,1643,2,2,2,2
